epoch,wall_time,step,value,run
2,1755683509.2906592,179,2.697566032409668,"1_1, ld32"
7,1755683538.3274016,479,1.9717137813568115,"1_1, ld32"
10,1755683555.8062727,659,1.2033036947250366,"1_1, ld32"
22,1755683625.553657,1379,0.28433752059936523,"1_1, ld32"
66,1755683886.1938488,4019,0.09283523261547089,"1_1, ld32"
85,1755683998.7011719,5159,0.07458052784204483,"1_1, ld32"
99,1755684081.8843665,5999,0.06331989169120789,"1_1, ld32"
103,1755684105.4107518,6239,0.060013189911842346,"1_1, ld32"
118,1755684194.6954286,7139,0.05024182051420212,"1_1, ld32"
127,1755684248.3580534,7679,0.04571286216378212,"1_1, ld32"
151,1755684390.6642392,9119,0.038800738751888275,"1_1, ld32"
154,1755684408.3780978,9299,0.03817324712872505,"1_1, ld32"
160,1755684443.9772239,9659,0.036943767219781876,"1_1, ld32"
188,1755684610.063652,11339,0.03280850872397423,"1_1, ld32"
198,1755684669.5063715,11939,0.03157839924097061,"1_1, ld32"
201,1755684687.2929835,12119,0.03122183494269848,"1_1, ld32"
211,1755684747.088243,12719,0.030252743512392044,"1_1, ld32"
213,1755684758.9473605,12839,0.03004581667482853,"1_1, ld32"
220,1755684800.8401628,13259,0.029590750113129616,"1_1, ld32"
225,1755684830.8852794,13559,0.029170922935009003,"1_1, ld32"
229,1755684854.7440333,13799,0.028982361778616905,"1_1, ld32"
239,1755684913.9991455,14399,0.02803380973637104,"1_1, ld32"
271,1755685104.6398873,16319,0.02597261406481266,"1_1, ld32"
275,1755685128.532791,16559,0.025787461549043655,"1_1, ld32"
314,1755685361.3858256,18899,0.023348605260252953,"1_1, ld32"
321,1755685403.0917058,19319,0.02297188527882099,"1_1, ld32"
333,1755685474.8302839,20039,0.02239902876317501,"1_1, ld32"
355,1755685605.5312953,21359,0.02140505239367485,"1_1, ld32"
363,1755685653.272087,21839,0.020938733592629433,"1_1, ld32"
381,1755685760.68148,22919,0.020075121894478798,"1_1, ld32"
387,1755685796.4280248,23279,0.0199202261865139,"1_1, ld32"
388,1755685802.3689992,23339,0.01988808438181877,"1_1, ld32"
411,1755685939.3444,24719,0.019021911546587944,"1_1, ld32"
413,1755685950.9454906,24839,0.01911579631268978,"1_1, ld32"
429,1755686046.564539,25799,0.018410444259643555,"1_1, ld32"
454,1755686195.448047,27299,0.01732078194618225,"1_1, ld32"
466,1755686267.0996811,28019,0.016971508041024208,"1_1, ld32"
480,1755686350.5772278,28859,0.01641881838440895,"1_1, ld32"
496,1755686446.2151065,29819,0.015584634616971016,"1_1, ld32"
504,1755686493.8226857,30299,0.015239601954817772,"1_1, ld32"
513,1755686548.2028446,30839,0.015161875635385513,"1_1, ld32"
543,1755686728.0264614,32639,0.01420321874320507,"1_1, ld32"
551,1755686775.6980247,33119,0.013978923670947552,"1_1, ld32"
555,1755686800.03552,33359,0.014030788093805313,"1_1, ld32"
587,1755686991.144171,35279,0.013572219759225845,"1_1, ld32"
590,1755687008.8659368,35459,0.01338617131114006,"1_1, ld32"
608,1755687116.74365,36539,0.013136766850948334,"1_1, ld32"
631,1755687254.6128817,37919,0.013148830272257328,"1_1, ld32"
643,1755687326.3365426,38639,0.012881271541118622,"1_1, ld32"
653,1755687386.0956376,39239,0.012949022464454174,"1_1, ld32"
