run_id,ld,s,seed,model,pred,tp
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4395,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.198,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1961,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.258,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.3938,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2034,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2166,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.26,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4078,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1952,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1899,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2378,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4416,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1653,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1704,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2291,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4344,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2188,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2677,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2137,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1959,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2525,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4318,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1839,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1877,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2627,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.3846,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1896,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2368,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4043,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1975,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1951,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.252,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4107,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1879,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2496,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.454,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1915,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1964,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2416,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.451,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1895,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2417,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.3825,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1823,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1983,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2848,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4504,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1867,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.167,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2558,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4154,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1957,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1979,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4464,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2119,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2168,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2675,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4371,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1729,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2618,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4551,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.3837,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2028,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2505,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4369,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.204,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1973,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2605,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4384,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2124,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1825,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2662,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4189,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2608,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4143,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2201,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2361,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2719,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4446,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2126,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2216,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4357,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2228,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2081,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.267,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4558,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1924,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1882,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2464,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.446,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1923,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1974,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2522,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1912,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2055,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4541,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1886,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2127,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2537,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4483,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1939,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.1966,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.251,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.32,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2065,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.448,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2221,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2096,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2712,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4104,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2026,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2541,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.3956,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2317,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2945,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2546,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4438,0.45
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2144,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2543,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2483,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2053,0.19
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.2577,0.25
2_1_1,32,24000,123,"RandomForestRegressor(n_jobs=-1, random_state=125)",0.4374,0.45
