run_id,ld,s,tp,rmse,train_data
2_2_1,32,24000,0.0,0.007738076152078889,False
2_2_1,32,24000,0.01,0.0076148775087060755,False
2_2_1,32,24000,0.02,0.008531096580409967,False
2_2_1,32,24000,0.03,0.007752536213447412,False
2_2_1,32,24000,0.04,0.007992988529745289,False
2_2_1,32,24000,0.05,0.007928794737850284,False
2_2_1,32,24000,0.06,0.008778737462048302,False
2_2_1,32,24000,0.07,0.00929766665065696,False
2_2_1,32,24000,0.08,0.011150674754986054,False
2_2_1,32,24000,0.09,0.012659536907253476,False
2_2_1,32,24000,0.1,0.016193231744713363,False
2_2_1,32,24000,0.11,0.022701871815825017,False
2_2_1,32,24000,0.12,0.029292058647617452,False
2_2_1,32,24000,0.13,0.030461531095178015,False
2_2_1,32,24000,0.14,0.03137559655343785,False
2_2_1,32,24000,0.15,0.03768059003824263,False
2_2_1,32,24000,0.16,0.03148229591246556,False
2_2_1,32,24000,0.17,0.024195709178150455,False
2_2_1,32,24000,0.18,0.015406700140830306,False
2_2_1,32,24000,0.19,0.010419373118392552,False
2_2_1,32,24000,0.2,0.008069646129842843,True
2_2_1,32,24000,0.21,0.007224636361524772,False
2_2_1,32,24000,0.22,0.007018766588497054,True
2_2_1,32,24000,0.23,0.007300109302350521,True
2_2_1,32,24000,0.24,0.007615970528421062,False
2_2_1,32,24000,0.25,0.008424541531141933,True
2_2_1,32,24000,0.26,0.009448745655582604,False
2_2_1,32,24000,0.27,0.011462552589208414,True
2_2_1,32,24000,0.28,0.011652147459142653,True
2_2_1,32,24000,0.29,0.011139498341462951,True
2_2_1,32,24000,0.3,0.012655680523379877,True
2_2_1,32,24000,0.31,0.010964411988811705,True
2_2_1,32,24000,0.32,0.010405616087717905,True
2_2_1,32,24000,0.33,0.009550935614854374,True
2_2_1,32,24000,0.34,0.005829604781171491,False
2_2_1,32,24000,0.35,0.006869356617068655,False
2_2_1,32,24000,0.36,0.007001775123199255,True
2_2_1,32,24000,0.37,0.0068875176358664325,True
2_2_1,32,24000,0.38,0.006411156269564374,True
2_2_1,32,24000,0.39,0.006096388362156557,True
2_2_1,32,24000,0.4,0.005940733115372696,True
2_2_1,32,24000,0.41,0.005873218005931128,True
2_2_1,32,24000,0.42,0.005858520035704224,True
2_2_1,32,24000,0.43,0.005915052633623809,True
2_2_1,32,24000,0.44,0.006036752159970828,True
2_2_1,32,24000,0.45,0.006200202213881182,True
2_2_1,32,24000,0.46,0.006409172382629756,True
2_2_1,32,24000,0.47,0.006526029741213175,True
2_2_1,32,24000,0.48,0.00635576271422716,True
2_2_1,32,24000,0.49,0.006159588138896566,False
2_2_1,32,24000,0.5,0.0067045259340519055,True
