run_id,ld,s,tp,rmse,train_data
2_1_1,16,24000,0.0,0.0255557236072476,True
2_1_1,16,24000,0.01,0.025344126193042212,True
2_1_1,16,24000,0.02,0.025855257776125136,False
2_1_1,16,24000,0.03,0.024873151753087103,False
2_1_1,16,24000,0.04,0.024624905426944257,True
2_1_1,16,24000,0.05,0.024194706998213637,False
2_1_1,16,24000,0.06,0.02447637209728329,False
2_1_1,16,24000,0.07,0.02508826855499717,True
2_1_1,16,24000,0.08,0.027007961320725655,True
2_1_1,16,24000,0.09,0.029779904696796484,True
2_1_1,16,24000,0.1,0.034343761641378485,True
2_1_1,16,24000,0.11,0.04071607983946065,True
2_1_1,16,24000,0.12,0.04778264851640523,True
2_1_1,16,24000,0.13,0.05488541719994359,True
2_1_1,16,24000,0.14,0.06610271872797338,True
2_1_1,16,24000,0.15,0.08147973766964091,True
2_1_1,16,24000,0.16,0.08677206861063495,True
2_1_1,16,24000,0.17,0.08705079570807726,False
2_1_1,16,24000,0.18,0.08850914560601496,True
2_1_1,16,24000,0.19,0.10346648223550835,True
2_1_1,16,24000,0.2,0.12547855858296,False
2_1_1,16,24000,0.21,0.13477759647193746,False
2_1_1,16,24000,0.22,0.13241047330523603,False
2_1_1,16,24000,0.23,0.13217895155160753,False
2_1_1,16,24000,0.24,0.14003555950983784,False
2_1_1,16,24000,0.25,0.16507302777300278,False
2_1_1,16,24000,0.26,0.17914835324199976,False
2_1_1,16,24000,0.27,0.18363606747025624,False
2_1_1,16,24000,0.28,0.18534079057629954,False
2_1_1,16,24000,0.29,0.18743493628604793,False
2_1_1,16,24000,0.3,0.20611017938206644,False
2_1_1,16,24000,0.31,0.21338936781886786,False
2_1_1,16,24000,0.32,0.20770937757231975,False
2_1_1,16,24000,0.33,0.19068106697572076,True
2_1_1,16,24000,0.34,0.12835697571995636,False
2_1_1,16,24000,0.35,0.12477768601481522,False
2_1_1,16,24000,0.36,0.13141765019771934,True
2_1_1,16,24000,0.37,0.14345374918255505,True
2_1_1,16,24000,0.38,0.134514490318474,True
2_1_1,16,24000,0.39,0.1267995372115013,True
2_1_1,16,24000,0.4,0.14999910158716595,True
2_1_1,16,24000,0.41,0.14592091596668166,True
2_1_1,16,24000,0.42,0.1234524508112886,True
2_1_1,16,24000,0.43,0.11054988999912833,True
2_1_1,16,24000,0.44,0.09963653697984975,True
2_1_1,16,24000,0.45,0.06887744960878045,True
2_1_1,16,24000,0.46,0.04450597488828524,True
2_1_1,16,24000,0.47,0.03308788832152341,True
2_1_1,16,24000,0.48,0.030224423156994046,True
2_1_1,16,24000,0.49,0.027008581946324314,False
2_1_1,16,24000,0.5,0.025040111127115273,True
