run_id,ld,s,tp,rmse,train_data
2_1_1,32,16000,0.0,0.0066017198876736774,True
2_1_1,32,16000,0.01,0.00659248549082389,True
2_1_1,32,16000,0.02,0.006659611268700556,False
2_1_1,32,16000,0.03,0.006606429072474271,False
2_1_1,32,16000,0.04,0.006626908694642639,True
2_1_1,32,16000,0.05,0.006632636726921689,False
2_1_1,32,16000,0.06,0.006689625353588983,False
2_1_1,32,16000,0.07,0.006733163722896291,True
2_1_1,32,16000,0.08,0.006834986664768982,True
2_1_1,32,16000,0.09,0.006928218303505991,True
2_1_1,32,16000,0.1,0.0071153715197840904,True
2_1_1,32,16000,0.11,0.007496346088957398,True
2_1_1,32,16000,0.12,0.008099645966602592,True
2_1_1,32,16000,0.13,0.008436245368049608,True
2_1_1,32,16000,0.14,0.009197281568166077,True
2_1_1,32,16000,0.15,0.011453696619450093,True
2_1_1,32,16000,0.16,0.01239825110342663,True
2_1_1,32,16000,0.17,0.013718059850554513,False
2_1_1,32,16000,0.18,0.014662234919842981,True
2_1_1,32,16000,0.19,0.01654879885421073,True
2_1_1,32,16000,0.2,0.018585251892599675,False
2_1_1,32,16000,0.21,0.021403106854121966,False
2_1_1,32,16000,0.22,0.02519412081586809,False
2_1_1,32,16000,0.23,0.031298039000576074,False
2_1_1,32,16000,0.24,0.03656425919542917,False
2_1_1,32,16000,0.25,0.04357800813546584,False
2_1_1,32,16000,0.26,0.04995445211400469,False
2_1_1,32,16000,0.27,0.05792616727187295,False
2_1_1,32,16000,0.28,0.06095887872248974,False
2_1_1,32,16000,0.29,0.06222320289397388,False
2_1_1,32,16000,0.3,0.06746914778316669,False
2_1_1,32,16000,0.31,0.061037142801325044,False
2_1_1,32,16000,0.32,0.05587739227181787,False
2_1_1,32,16000,0.33,0.04819538599324534,True
2_1_1,32,16000,0.34,0.009690866896053961,False
2_1_1,32,16000,0.35,0.013029220874668927,False
2_1_1,32,16000,0.36,0.012535313749307905,True
2_1_1,32,16000,0.37,0.011462614523328129,True
2_1_1,32,16000,0.38,0.009789314617584822,True
2_1_1,32,16000,0.39,0.008539850495039051,True
2_1_1,32,16000,0.4,0.008199399129601916,True
2_1_1,32,16000,0.41,0.008077603014539688,True
2_1_1,32,16000,0.42,0.00787691676378302,True
2_1_1,32,16000,0.43,0.007774341575380514,True
2_1_1,32,16000,0.44,0.007445459066642774,True
2_1_1,32,16000,0.45,0.007040904805473517,True
2_1_1,32,16000,0.46,0.006921850150548741,True
2_1_1,32,16000,0.47,0.006903965367442964,True
2_1_1,32,16000,0.48,0.006620344487249702,True
2_1_1,32,16000,0.49,0.006229225736502022,False
2_1_1,32,16000,0.5,0.005888884483521344,True
