run_id,ld,s,tp,rmse,train_data
2_1_1,8,24000,0.0,0.06516139501081183,True
2_1_1,8,24000,0.01,0.06475493148940892,True
2_1_1,8,24000,0.02,0.06554363603663038,False
2_1_1,8,24000,0.03,0.06367374268385062,False
2_1_1,8,24000,0.04,0.06304921708272349,True
2_1_1,8,24000,0.05,0.06211321651914859,False
2_1_1,8,24000,0.06,0.06256072519632712,False
2_1_1,8,24000,0.07,0.06380852149550469,True
2_1_1,8,24000,0.08,0.06814526390133044,True
2_1_1,8,24000,0.09,0.07473088762685519,True
2_1_1,8,24000,0.1,0.08497224488717658,True
2_1_1,8,24000,0.11,0.09757257094240317,True
2_1_1,8,24000,0.12,0.10790872927976776,True
2_1_1,8,24000,0.13,0.11445968654763022,True
2_1_1,8,24000,0.14,0.1289089462092204,True
2_1_1,8,24000,0.15,0.15384002115622614,True
2_1_1,8,24000,0.16,0.16535515735251696,True
2_1_1,8,24000,0.17,0.16809801058154789,False
2_1_1,8,24000,0.18,0.1764896045968733,True
2_1_1,8,24000,0.19,0.20831287540511934,True
2_1_1,8,24000,0.2,0.24772859283335513,False
2_1_1,8,24000,0.21,0.2632188645241552,False
2_1_1,8,24000,0.22,0.25804735969572123,False
2_1_1,8,24000,0.23,0.2518898782858975,False
2_1_1,8,24000,0.24,0.2558607531267524,False
2_1_1,8,24000,0.25,0.2811759293434764,False
2_1_1,8,24000,0.26,0.2860131691429934,False
2_1_1,8,24000,0.27,0.28119268994497476,False
2_1_1,8,24000,0.28,0.27666976658955555,False
2_1_1,8,24000,0.29,0.2729801225044441,False
2_1_1,8,24000,0.3,0.2928024749339154,False
2_1_1,8,24000,0.31,0.3000015634505707,False
2_1_1,8,24000,0.32,0.2868434344049784,False
2_1_1,8,24000,0.33,0.26581015769979155,True
2_1_1,8,24000,0.34,0.20071117395164575,False
2_1_1,8,24000,0.35,0.19522086120719356,False
2_1_1,8,24000,0.36,0.20289144837908737,True
2_1_1,8,24000,0.37,0.21832346322480345,True
2_1_1,8,24000,0.38,0.20633965100996912,True
2_1_1,8,24000,0.39,0.19653631449495984,True
2_1_1,8,24000,0.4,0.23230125556875333,True
2_1_1,8,24000,0.41,0.22972892612260956,True
2_1_1,8,24000,0.42,0.2054494511332584,True
2_1_1,8,24000,0.43,0.19017256575235594,True
2_1_1,8,24000,0.44,0.18019148496357734,True
2_1_1,8,24000,0.45,0.14572896754022632,True
2_1_1,8,24000,0.46,0.10396214204223253,True
2_1_1,8,24000,0.47,0.08061831044588051,True
2_1_1,8,24000,0.48,0.07429152385464233,True
2_1_1,8,24000,0.49,0.06469702273102401,False
2_1_1,8,24000,0.5,0.05634860577119327,True
