run_id,ld,s,tp,rmse,train_data
2_3_1,32,24000,0.0,0.0086958472851516,True
2_3_1,32,24000,0.01,0.008621859714211914,True
2_3_1,32,24000,0.02,0.00883660333308913,False
2_3_1,32,24000,0.03,0.008529615396547008,False
2_3_1,32,24000,0.04,0.008499040142882506,True
2_3_1,32,24000,0.05,0.008417594942537066,False
2_3_1,32,24000,0.06,0.008463698770256236,False
2_3_1,32,24000,0.07,0.008458509130958492,True
2_3_1,32,24000,0.08,0.008570191310411101,True
2_3_1,32,24000,0.09,0.008717905603495212,True
2_3_1,32,24000,0.1,0.009114882396649695,True
2_3_1,32,24000,0.11,0.0099180040958898,True
2_3_1,32,24000,0.12,0.011097426846151646,True
2_3_1,32,24000,0.13,0.012248373485461875,True
2_3_1,32,24000,0.14,0.014325831677897805,True
2_3_1,32,24000,0.15,0.01808375257929515,True
2_3_1,32,24000,0.16,0.019066233227118385,True
2_3_1,32,24000,0.17,0.017599548270681525,False
2_3_1,32,24000,0.18,0.01571577350920268,True
2_3_1,32,24000,0.19,0.016413276292294963,True
2_3_1,32,24000,0.2,0.01943593485894092,True
2_3_1,32,24000,0.21,0.02123182999572709,True
2_3_1,32,24000,0.22,0.02156346187561373,True
2_3_1,32,24000,0.23,0.02240855262537131,True
2_3_1,32,24000,0.24,0.0242271792681987,False
2_3_1,32,24000,0.25,0.028098192998373895,True
2_3_1,32,24000,0.26,0.03066082855463717,False
2_3_1,32,24000,0.27,0.032114117672783195,True
2_3_1,32,24000,0.28,0.03290300218055299,True
2_3_1,32,24000,0.29,0.03324268306248712,True
2_3_1,32,24000,0.3,0.03753231583669795,True
2_3_1,32,24000,0.31,0.04069945039033864,True
2_3_1,32,24000,0.32,0.041201139786282606,True
2_3_1,32,24000,0.33,0.03939525062851666,False
2_3_1,32,24000,0.34,0.030761418843659533,False
2_3_1,32,24000,0.35,0.039292465537819656,False
2_3_1,32,24000,0.36,0.04278944553187283,False
2_3_1,32,24000,0.37,0.04925057024241774,False
2_3_1,32,24000,0.38,0.04458594924672817,False
2_3_1,32,24000,0.39,0.03843529548845521,False
2_3_1,32,24000,0.4,0.043064607988720575,False
2_3_1,32,24000,0.41,0.04024790907008731,False
2_3_1,32,24000,0.42,0.03284069183638011,False
2_3_1,32,24000,0.43,0.028896414357672012,False
2_3_1,32,24000,0.44,0.025226552482814128,False
2_3_1,32,24000,0.45,0.017100231092093802,False
2_3_1,32,24000,0.46,0.01792921329887219,False
2_3_1,32,24000,0.47,0.024287018182244338,False
2_3_1,32,24000,0.48,0.030317369949679963,False
2_3_1,32,24000,0.49,0.03752457687457709,False
2_3_1,32,24000,0.5,0.050127435660586646,False
