run_id,ld,s,tp,rmse,train_data
2_1_1,32,2000,0.0,0.027665143531877934,True
2_1_1,32,2000,0.01,0.027201153489992178,True
2_1_1,32,2000,0.02,0.028331315430026646,False
2_1_1,32,2000,0.03,0.025989231169577985,False
2_1_1,32,2000,0.04,0.0251962487935947,True
2_1_1,32,2000,0.05,0.023779359596402257,False
2_1_1,32,2000,0.06,0.023704324062547823,False
2_1_1,32,2000,0.07,0.023897934782963603,True
2_1_1,32,2000,0.08,0.026671573626565817,True
2_1_1,32,2000,0.09,0.03105009455382175,True
2_1_1,32,2000,0.1,0.03777303928470661,True
2_1_1,32,2000,0.11,0.04491084016257561,True
2_1_1,32,2000,0.12,0.04820154518327849,True
2_1_1,32,2000,0.13,0.05019257871682537,True
2_1_1,32,2000,0.14,0.06175850824110407,True
2_1_1,32,2000,0.15,0.07985980170867575,True
2_1_1,32,2000,0.16,0.0824778556992096,True
2_1_1,32,2000,0.17,0.07390890721361408,False
2_1_1,32,2000,0.18,0.06299690316167374,True
2_1_1,32,2000,0.19,0.06684709810105584,True
2_1_1,32,2000,0.2,0.07966568444385762,False
2_1_1,32,2000,0.21,0.08345840664681464,False
2_1_1,32,2000,0.22,0.0807385705910017,False
2_1_1,32,2000,0.23,0.08234787767322405,False
2_1_1,32,2000,0.24,0.09067645259159772,False
2_1_1,32,2000,0.25,0.10954738350807605,False
2_1_1,32,2000,0.26,0.12011492622305513,False
2_1_1,32,2000,0.27,0.12592445585192535,False
2_1_1,32,2000,0.28,0.12768380735541685,False
2_1_1,32,2000,0.29,0.1282859187386655,False
2_1_1,32,2000,0.3,0.1383782627135698,False
2_1_1,32,2000,0.31,0.13748916956962692,False
2_1_1,32,2000,0.32,0.13270385910735627,False
2_1_1,32,2000,0.33,0.12222932876015583,True
2_1_1,32,2000,0.34,0.06903525342139732,False
2_1_1,32,2000,0.35,0.09561594045169573,False
2_1_1,32,2000,0.36,0.09687350688874387,True
2_1_1,32,2000,0.37,0.09958999584121432,True
2_1_1,32,2000,0.38,0.08817167875828404,True
2_1_1,32,2000,0.39,0.08046636481769251,True
2_1_1,32,2000,0.4,0.09295492197457551,True
2_1_1,32,2000,0.41,0.08763371210369644,True
2_1_1,32,2000,0.42,0.07093237346166788,True
2_1_1,32,2000,0.43,0.05801044307512208,True
2_1_1,32,2000,0.44,0.05218020157741155,True
2_1_1,32,2000,0.45,0.04221055128947598,True
2_1_1,32,2000,0.46,0.030390477639643147,True
2_1_1,32,2000,0.47,0.022896588375827195,True
2_1_1,32,2000,0.48,0.020841113022572084,True
2_1_1,32,2000,0.49,0.019005966536507882,False
2_1_1,32,2000,0.5,0.017513443526949227,True
