run_id,ld,s,tp,rmse,train_data
2_1_1,32,24000,0.0,0.006631706837360402,True
2_1_1,32,24000,0.01,0.0066033887175099715,True
2_1_1,32,24000,0.02,0.006709791477800586,False
2_1_1,32,24000,0.03,0.006572153835943596,False
2_1_1,32,24000,0.04,0.006570474923866168,True
2_1_1,32,24000,0.05,0.0065586882150344104,False
2_1_1,32,24000,0.06,0.006627568140790758,False
2_1_1,32,24000,0.07,0.006696761749729586,True
2_1_1,32,24000,0.08,0.006867102469292426,True
2_1_1,32,24000,0.09,0.007089420294104685,True
2_1_1,32,24000,0.1,0.007544531399224892,True
2_1_1,32,24000,0.11,0.008368460954393898,True
2_1_1,32,24000,0.12,0.009459705434807729,True
2_1_1,32,24000,0.13,0.010205673897579298,True
2_1_1,32,24000,0.14,0.011790207655155987,True
2_1_1,32,24000,0.15,0.014145960277187855,True
2_1_1,32,24000,0.16,0.01571841310073698,True
2_1_1,32,24000,0.17,0.01690620774515592,False
2_1_1,32,24000,0.18,0.0178731241170947,True
2_1_1,32,24000,0.19,0.021158248735412517,True
2_1_1,32,24000,0.2,0.02588946173575151,False
2_1_1,32,24000,0.21,0.028637838018218842,False
2_1_1,32,24000,0.22,0.03010777414238126,False
2_1_1,32,24000,0.23,0.03350419119627167,False
2_1_1,32,24000,0.24,0.03783759038786217,False
2_1_1,32,24000,0.25,0.046614997742429026,False
2_1_1,32,24000,0.26,0.05352236202291009,False
2_1_1,32,24000,0.27,0.05871696591146681,False
2_1_1,32,24000,0.28,0.05997864015175832,False
2_1_1,32,24000,0.29,0.05948715921800833,False
2_1_1,32,24000,0.3,0.06428741514296009,False
2_1_1,32,24000,0.31,0.061218442313322914,False
2_1_1,32,24000,0.32,0.05693759941211259,False
2_1_1,32,24000,0.33,0.050149891818374995,True
2_1_1,32,24000,0.34,0.029174766828944747,False
2_1_1,32,24000,0.35,0.02863868046052716,False
2_1_1,32,24000,0.36,0.028866707655518513,True
2_1_1,32,24000,0.37,0.03203840542372752,True
2_1_1,32,24000,0.38,0.02870792906244714,True
2_1_1,32,24000,0.39,0.02383802549323278,True
2_1_1,32,24000,0.4,0.026142334173843006,True
2_1_1,32,24000,0.41,0.029394007585334146,True
2_1_1,32,24000,0.42,0.023569825399960775,True
2_1_1,32,24000,0.43,0.019635832789516954,True
2_1_1,32,24000,0.44,0.01675910265366522,True
2_1_1,32,24000,0.45,0.011664558334838102,True
2_1_1,32,24000,0.46,0.008030122411612243,True
2_1_1,32,24000,0.47,0.007080830133312278,True
2_1_1,32,24000,0.48,0.006650047662128936,True
2_1_1,32,24000,0.49,0.006059755659596273,False
2_1_1,32,24000,0.5,0.005483554804980228,True
