run_id,ld,s,tp,rmse,train_data
2_1_2,32,24000,0.0,0.009810373509734086,True
2_1_2,32,24000,0.01,0.009736770381500425,True
2_1_2,32,24000,0.02,0.01016037549830652,False
2_1_2,32,24000,0.03,0.009754724592721156,False
2_1_2,32,24000,0.04,0.00983733000274181,True
2_1_2,32,24000,0.05,0.00980174234003231,False
2_1_2,32,24000,0.06,0.010162782988964001,False
2_1_2,32,24000,0.07,0.01038303437710239,True
2_1_2,32,24000,0.08,0.01106709444083113,True
2_1_2,32,24000,0.09,0.01185849157025427,True
2_1_2,32,24000,0.1,0.013384039947171454,True
2_1_2,32,24000,0.11,0.015966375013801937,True
2_1_2,32,24000,0.12,0.01952568568182041,True
2_1_2,32,24000,0.13,0.022098292524703085,True
2_1_2,32,24000,0.14,0.02516757402114606,True
2_1_2,32,24000,0.15,0.03097298918563204,True
2_1_2,32,24000,0.16,0.03150382756659948,True
2_1_2,32,24000,0.17,0.03195999935256971,False
2_1_2,32,24000,0.18,0.033555934238040167,True
2_1_2,32,24000,0.19,0.03921776535180519,True
2_1_2,32,24000,0.2,0.046349625123495754,False
2_1_2,32,24000,0.21,0.05012566262014084,False
2_1_2,32,24000,0.22,0.05291314250523448,False
2_1_2,32,24000,0.23,0.059003728316490194,False
2_1_2,32,24000,0.24,0.06682840454642135,False
2_1_2,32,24000,0.25,0.0801989866037343,False
2_1_2,32,24000,0.26,0.09039092550776645,False
2_1_2,32,24000,0.27,0.09852442515672663,False
2_1_2,32,24000,0.28,0.10232782962590879,False
2_1_2,32,24000,0.29,0.10481006143689235,False
2_1_2,32,24000,0.3,0.11446806511461577,False
2_1_2,32,24000,0.31,0.11396310693115974,False
2_1_2,32,24000,0.32,0.11082295001592865,False
2_1_2,32,24000,0.33,0.10152237606087768,True
2_1_2,32,24000,0.34,0.05666683971636146,False
2_1_2,32,24000,0.35,0.05440258857988345,False
2_1_2,32,24000,0.36,0.0549544825892492,True
2_1_2,32,24000,0.37,0.05898701321380965,True
2_1_2,32,24000,0.38,0.054104808668180696,True
2_1_2,32,24000,0.39,0.048168823671733,True
2_1_2,32,24000,0.4,0.056051612950540904,True
2_1_2,32,24000,0.41,0.05698698313503314,True
2_1_2,32,24000,0.42,0.047153965918562905,True
2_1_2,32,24000,0.43,0.040527156957970274,True
2_1_2,32,24000,0.44,0.035626540410276665,True
2_1_2,32,24000,0.45,0.0227980619176953,True
2_1_2,32,24000,0.46,0.014043362424729762,True
2_1_2,32,24000,0.47,0.011141646957831866,True
2_1_2,32,24000,0.48,0.010313946586472613,True
2_1_2,32,24000,0.49,0.00987735407037019,False
2_1_2,32,24000,0.5,0.010199405363411419,True
