run_id,ld,s,tp,rmse,train_data
1_2,32,24000,0.0,0.020484142184126905,True
1_2,32,24000,0.01,0.020310723165461946,True
1_2,32,24000,0.02,0.020942852458361052,True
1_2,32,24000,0.03,0.020088254963388417,True
1_2,32,24000,0.04,0.020013542956186323,True
1_2,32,24000,0.05,0.019672987618825934,True
1_2,32,24000,0.06,0.019953136860797187,True
1_2,32,24000,0.07,0.020111454824233287,True
1_2,32,24000,0.08,0.021112399882700396,True
1_2,32,24000,0.09,0.02233706921749844,True
1_2,32,24000,0.1,0.02518859944616806,True
1_2,32,24000,0.11,0.030796727085275304,True
1_2,32,24000,0.12,0.03681131865450329,True
1_2,32,24000,0.13,0.043170260590478855,True
1_2,32,24000,0.14,0.04983118364146722,True
1_2,32,24000,0.15,0.06006238885096786,True
1_2,32,24000,0.16,0.06395174584690408,True
1_2,32,24000,0.17,0.0626380621644714,True
1_2,32,24000,0.18,0.059198018891604684,True
1_2,32,24000,0.19,0.06043668002305289,True
1_2,32,24000,0.2,0.0662152822991271,True
1_2,32,24000,0.21,0.07055114191619564,True
1_2,32,24000,0.22,0.07184910327135088,True
1_2,32,24000,0.23,0.07526069925106986,True
1_2,32,24000,0.24,0.08216401196986163,True
1_2,32,24000,0.25,0.0975837458558457,True
1_2,32,24000,0.26,0.1078622487985321,True
1_2,32,24000,0.27,0.11545372200044818,True
1_2,32,24000,0.28,0.11961194368804416,True
1_2,32,24000,0.29,0.12183151109063697,True
1_2,32,24000,0.3,0.13590836404076226,True
1_2,32,24000,0.31,0.14114638941461652,True
1_2,32,24000,0.32,0.13887184101247363,True
1_2,32,24000,0.33,0.12827775288963816,True
1_2,32,24000,0.34,0.092519809856389,True
1_2,32,24000,0.35,0.0911649405709355,True
1_2,32,24000,0.36,0.09886902274075171,True
1_2,32,24000,0.37,0.10713707643978794,True
1_2,32,24000,0.38,0.09874838384870874,True
1_2,32,24000,0.39,0.09096287638974573,True
1_2,32,24000,0.4,0.1082522439398524,True
1_2,32,24000,0.41,0.10744199120927936,True
1_2,32,24000,0.42,0.09241588713223682,True
1_2,32,24000,0.43,0.08077889353589954,True
1_2,32,24000,0.44,0.07145213400690713,True
1_2,32,24000,0.45,0.045337690752917395,True
1_2,32,24000,0.46,0.03061355128091527,True
1_2,32,24000,0.47,0.024760625019664265,True
1_2,32,24000,0.48,0.022812944749859013,True
1_2,32,24000,0.49,0.022134670480335388,True
1_2,32,24000,0.5,0.02186281005412052,True
