run_id,ld,s,tp,rmse,train_data
3_2,32,24000,0.0,0.007108772445562261,True
3_2,32,24000,0.01,0.007055209028399301,True
3_2,32,24000,0.02,0.007241224950429179,True
3_2,32,24000,0.03,0.006958703817625853,False
3_2,32,24000,0.04,0.006913321353797732,True
3_2,32,24000,0.05,0.00683046318377429,False
3_2,32,24000,0.06,0.006884156701243669,False
3_2,32,24000,0.07,0.006984803107280559,True
3_2,32,24000,0.08,0.007341028525476456,True
3_2,32,24000,0.09,0.00794871995773335,True
3_2,32,24000,0.1,0.008981333605035254,True
3_2,32,24000,0.11,0.010644785870691335,True
3_2,32,24000,0.12,0.012688814704551089,True
3_2,32,24000,0.13,0.014742620912158493,True
3_2,32,24000,0.14,0.017610984311277018,True
3_2,32,24000,0.15,0.02232463038948377,True
3_2,32,24000,0.16,0.025320557854096662,True
3_2,32,24000,0.17,0.0275608181760337,False
3_2,32,24000,0.18,0.03004179211903221,True
3_2,32,24000,0.19,0.03564056850409902,True
3_2,32,24000,0.2,0.04362018969389966,False
3_2,32,24000,0.21,0.05118361065613312,False
3_2,32,24000,0.22,0.05789056725344498,False
3_2,32,24000,0.23,0.0670484710559243,False
3_2,32,24000,0.24,0.07661301784465636,False
3_2,32,24000,0.25,0.09168014175283529,False
3_2,32,24000,0.26,0.1046346354242318,False
3_2,32,24000,0.27,0.11590501878322072,False
3_2,32,24000,0.28,0.12231046528898674,False
3_2,32,24000,0.29,0.12629510998557347,False
3_2,32,24000,0.3,0.13926606920744172,False
3_2,32,24000,0.31,0.14234980292751653,False
3_2,32,24000,0.32,0.14022433119057748,False
3_2,32,24000,0.33,0.12951944387806466,False
3_2,32,24000,0.34,0.07225983085563988,False
3_2,32,24000,0.35,0.11917059823838623,False
3_2,32,24000,0.36,0.1217205308487001,False
3_2,32,24000,0.37,0.1241165660623758,False
3_2,32,24000,0.38,0.10367992916023697,False
3_2,32,24000,0.39,0.08232396524747841,False
3_2,32,24000,0.4,0.08833289403451101,False
3_2,32,24000,0.41,0.08590320087486426,False
3_2,32,24000,0.42,0.06993402766284441,False
3_2,32,24000,0.43,0.0604638818882107,False
3_2,32,24000,0.44,0.05325224478565736,False
3_2,32,24000,0.45,0.028501294158976277,False
3_2,32,24000,0.46,0.015003972245836964,False
3_2,32,24000,0.47,0.01203682989020439,False
3_2,32,24000,0.48,0.01200365328972535,False
3_2,32,24000,0.49,0.011520583851109073,False
3_2,32,24000,0.5,0.011066437148469187,False
