run_id,ld,s,tp,rmse,train_data
2_3_2,32,24000,0.0,0.02202512352105782,True
2_3_2,32,24000,0.01,0.021724633278493808,True
2_3_2,32,24000,0.02,0.022740687122642298,False
2_3_2,32,24000,0.03,0.021297031237663504,False
2_3_2,32,24000,0.04,0.021222992001774653,True
2_3_2,32,24000,0.05,0.020993888988394105,False
2_3_2,32,24000,0.06,0.021572354725269683,False
2_3_2,32,24000,0.07,0.021615239067608212,True
2_3_2,32,24000,0.08,0.023007188926397693,True
2_3_2,32,24000,0.09,0.02404896921633769,True
2_3_2,32,24000,0.1,0.02733033079705428,True
2_3_2,32,24000,0.11,0.03287327887939532,True
2_3_2,32,24000,0.12,0.038528602945244024,True
2_3_2,32,24000,0.13,0.044141606186720625,True
2_3_2,32,24000,0.14,0.052498941079554336,True
2_3_2,32,24000,0.15,0.06649831356094164,True
2_3_2,32,24000,0.16,0.06819748305195604,True
2_3_2,32,24000,0.17,0.06232598183221994,False
2_3_2,32,24000,0.18,0.057155079645138274,True
2_3_2,32,24000,0.19,0.0608036641464068,True
2_3_2,32,24000,0.2,0.06897265802670949,True
2_3_2,32,24000,0.21,0.0722588800479752,True
2_3_2,32,24000,0.22,0.07035317306180265,True
2_3_2,32,24000,0.23,0.07105969303809817,True
2_3_2,32,24000,0.24,0.077676194725461,False
2_3_2,32,24000,0.25,0.0953910218835049,True
2_3_2,32,24000,0.26,0.10564818006824024,False
2_3_2,32,24000,0.27,0.11068257770308397,True
2_3_2,32,24000,0.28,0.11245569557441584,True
2_3_2,32,24000,0.29,0.11294153246236201,True
2_3_2,32,24000,0.3,0.1256214459209455,True
2_3_2,32,24000,0.31,0.12956321485793715,True
2_3_2,32,24000,0.32,0.1278337183928343,True
2_3_2,32,24000,0.33,0.11789742099234961,False
2_3_2,32,24000,0.34,0.08489847222086598,False
2_3_2,32,24000,0.35,0.1060732431905446,False
2_3_2,32,24000,0.36,0.11070808469308341,False
2_3_2,32,24000,0.37,0.11676387693550518,False
2_3_2,32,24000,0.38,0.10506571070693171,False
2_3_2,32,24000,0.39,0.09486693796351206,False
2_3_2,32,24000,0.4,0.11282135073892251,False
2_3_2,32,24000,0.41,0.10559983350308347,False
2_3_2,32,24000,0.42,0.08765569205248509,False
2_3_2,32,24000,0.43,0.07448548211148638,False
2_3_2,32,24000,0.44,0.06951343369497602,False
2_3_2,32,24000,0.45,0.044969986281336284,False
2_3_2,32,24000,0.46,0.03246264924121313,False
2_3_2,32,24000,0.47,0.03348412980535451,False
2_3_2,32,24000,0.48,0.03495320830024052,False
2_3_2,32,24000,0.49,0.036241889922934346,False
2_3_2,32,24000,0.5,0.04130103532542052,False
