run_id,ld,s,tp,rmse,train_data
2_1_1,32,12000,0.0,0.011389721135203902,True
2_1_1,32,12000,0.01,0.011300158339356254,True
2_1_1,32,12000,0.02,0.011532340014372441,False
2_1_1,32,12000,0.03,0.011104820049319456,False
2_1_1,32,12000,0.04,0.010995419013875898,True
2_1_1,32,12000,0.05,0.010773873070794013,False
2_1_1,32,12000,0.06,0.010799615571451229,False
2_1_1,32,12000,0.07,0.010793435049550867,True
2_1_1,32,12000,0.08,0.011206935375050577,True
2_1_1,32,12000,0.09,0.012135601333828778,True
2_1_1,32,12000,0.1,0.014049022266557892,True
2_1_1,32,12000,0.11,0.01702489359543713,True
2_1_1,32,12000,0.12,0.021166285687140806,True
2_1_1,32,12000,0.13,0.024836393195336835,True
2_1_1,32,12000,0.14,0.030061537003682276,True
2_1_1,32,12000,0.15,0.037199684368202555,True
2_1_1,32,12000,0.16,0.038359538120899435,True
2_1_1,32,12000,0.17,0.037103322924419486,False
2_1_1,32,12000,0.18,0.03590027290788418,True
2_1_1,32,12000,0.19,0.04185345237117301,True
2_1_1,32,12000,0.2,0.05277889179385872,False
2_1_1,32,12000,0.21,0.05845346288739646,False
2_1_1,32,12000,0.22,0.059750652042674386,False
2_1_1,32,12000,0.23,0.06375447066098058,False
2_1_1,32,12000,0.24,0.07083084055413598,False
2_1_1,32,12000,0.25,0.08622027917662435,False
2_1_1,32,12000,0.26,0.09804154184866488,False
2_1_1,32,12000,0.27,0.1057412517904178,False
2_1_1,32,12000,0.28,0.1091926670054919,False
2_1_1,32,12000,0.29,0.1111797708611496,False
2_1_1,32,12000,0.3,0.12107055597055427,False
2_1_1,32,12000,0.31,0.12127433115474434,False
2_1_1,32,12000,0.32,0.11785219937258322,False
2_1_1,32,12000,0.33,0.10823894752845355,True
2_1_1,32,12000,0.34,0.06227560216954443,False
2_1_1,32,12000,0.35,0.06294984160830128,False
2_1_1,32,12000,0.36,0.06571655604016186,True
2_1_1,32,12000,0.37,0.06941239685974096,True
2_1_1,32,12000,0.38,0.06388657123798264,True
2_1_1,32,12000,0.39,0.05731232818934736,True
2_1_1,32,12000,0.4,0.06421344370493554,True
2_1_1,32,12000,0.41,0.06207416646005597,True
2_1_1,32,12000,0.42,0.05039449894746268,True
2_1_1,32,12000,0.43,0.04396030867409936,True
2_1_1,32,12000,0.44,0.03799824252465927,True
2_1_1,32,12000,0.45,0.024430614997859472,True
2_1_1,32,12000,0.46,0.014859510423047975,True
2_1_1,32,12000,0.47,0.010868256711275066,True
2_1_1,32,12000,0.48,0.009530337995568437,True
2_1_1,32,12000,0.49,0.008741532509228305,False
2_1_1,32,12000,0.5,0.008383383376457547,True
